497,500,399,600,500,500,613,388,504,497
501,504,399,618,500,500,613,406,508,501
506,509,399,636,500,500,613,424,513,506
510,513,399,655,500,500,613,443,517,510
515,518,399,673,500,500,613,461,522,515
520,523,399,692,500,500,613,480,527,520
524,527,399,710,500,500,613,498,531,524
529,532,399,729,500,500,613,517,536,529
534,537,399,747,500,500,613,535,541,534
538,541,399,765,500,500,613,553,545,538
538,541,399,765,500,500,613,553,545,538
538,541,408,765,500,509,622,544,545,538
538,541,417,765,500,518,631,535,545,538
538,541,426,765,500,527,640,526,545,538
538,541,435,765,500,536,649,517,545,538
538,541,444,765,500,545,658,508,545,538
538,541,454,765,500,554,668,499,545,538
538,541,463,765,500,563,677,490,545,538
538,541,472,765,500,572,686,481,545,538
538,541,481,765,500,581,695,472,545,538
538,541,481,765,500,581,695,472,545,538
538,541,481,756,500,563,695,481,545,538
538,541,481,747,500,544,695,490,545,538
538,541,481,738,500,526,695,499,545,538
538,541,481,728,500,507,695,509,545,538
538,541,481,719,500,490,695,518,545,538
538,541,481,710,500,471,695,527,545,538
538,541,481,701,500,453,695,536,545,538
538,541,481,691,500,434,695,546,545,538
538,541,481,682,500,416,695,555,545,538
538,541,481,682,500,416,695,555,545,538
529,532,481,682,500,416,695,555,536,529
520,523,481,682,500,416,695,555,527,520
510,513,481,682,500,416,695,555,517,510
501,504,481,682,500,416,695,555,508,501
493,496,481,682,500,416,695,555,500,493
484,487,481,682,500,416,695,555,491,484
474,477,481,682,500,416,695,555,481,474
465,468,481,682,500,416,695,555,472,465
456,459,481,682,500,416,695,555,463,456
456,459,481,682,500,416,695,555,463,456
456,459,481,682,500,425,695,545,463,456
456,459,481,682,500,435,695,536,463,456
456,459,481,682,500,444,695,527,463,456
456,459,481,682,500,453,695,517,463,456
456,459,481,682,500,463,695,508,463,456
456,459,481,682,500,472,695,498,463,456
456,459,481,682,500,482,695,489,463,456
456,459,481,682,500,491,695,480,463,456
456,459,481,682,500,500,695,470,463,456
456,459,481,682,500,500,695,470,463,456
460,463,472,673,500,500,686,461,467,460
465,468,463,664,500,500,677,452,472,465
470,473,454,655,500,500,668,443,477,470
474,477,444,645,500,500,658,433,481,474
479,482,435,636,500,500,649,424,486,479
484,487,426,627,500,500,640,415,491,484
488,491,417,618,500,500,631,406,495,488
493,496,408,609,500,500,622,397,500,493
497,500,399,600,500,500,613,388,504,497
