497	500	399	600	500	500	613	388	504	497
501	504	399	608	500	500	613	396	508	501
506	509	399	616	500	500	613	404	513	506
510	513	399	624	500	500	613	412	517	510
515	518	399	633	500	500	613	421	522	515
520	523	399	641	500	500	613	429	527	520
524	527	399	649	500	500	613	437	531	524
529	532	399	658	500	500	613	446	536	529
534	537	399	666	500	500	613	454	541	534
538	541	399	674	500	500	613	462	545	538
538	541	399	674	500	500	613	462	545	538
538	541	399	674	500	489	613	474	545	538
538	541	398	674	500	478	612	485	545	538
538	541	397	674	500	467	611	496	545	538
538	541	396	674	500	456	610	507	545	538
538	541	395	674	500	445	609	518	545	538
538	541	394	674	500	434	608	529	545	538
538	541	393	674	500	423	607	540	545	538
538	541	392	674	500	411	606	551	545	538
538	541	391	674	500	400	605	563	545	538
538	541	391	674	500	400	605	563	545	538
538	541	391	665	500	382	605	572	545	538
538	541	391	656	500	363	605	581	545	538
538	541	391	647	500	345	605	590	545	538
538	541	391	637	500	326	605	600	545	538
538	541	391	628	500	308	605	609	545	538
538	541	391	619	500	289	605	618	545	538
538	541	391	610	500	271	605	627	545	538
538	541	391	600	500	252	605	637	545	538
538	541	391	592	500	234	605	646	545	538
538	541	391	592	500	234	605	646	545	538
529	532	391	592	500	234	605	646	536	529
520	523	391	592	500	234	605	646	527	520
510	513	391	592	500	234	605	646	517	510
501	504	391	592	500	234	605	646	508	501
493	496	391	592	500	234	605	646	500	493
484	487	391	592	500	234	605	646	491	484
474	477	391	592	500	234	605	646	481	474
465	468	391	592	500	234	605	646	472	465
456	459	391	592	500	234	605	646	463	456
456	459	391	592	500	234	605	646	463	456
456	459	391	592	500	263	605	616	463	456
456	459	391	592	500	293	605	587	463	456
456	459	391	592	500	323	605	557	463	456
456	459	391	592	500	352	605	527	463	456
456	459	391	592	500	382	605	498	463	456
456	459	391	592	500	412	605	468	463	456
456	459	391	592	500	441	605	438	463	456
456	459	391	592	500	471	605	409	463	456
456	459	391	592	500	500	605	380	463	456
456	459	391	592	500	500	605	380	463	456
460	463	392	593	500	500	606	381	467	460
465	468	393	594	500	500	607	382	472	465
470	473	394	595	500	500	608	383	477	470
474	477	395	596	500	500	609	384	481	474
479	482	396	597	500	500	610	385	486	479
484	487	397	598	500	500	611	386	491	484
488	491	398	599	500	500	612	387	495	488
493	496	399	600	500	500	613	388	500	493
497	500	399	600	500	500	613	388	504	497
